applicant_id,age,gender,marital_status,education,dependents,employment_status,years_employed,annual_income,credit_score,existing_loans,credit_history_years,loan_amount,loan_term,loan_purpose,interest_rate,property_area,has_cosigner,debt_to_income,total_debt,emi,loan_status
APP100040,46,Female,Married,High School,0,Business,9,16873,619,0,11,359079,36,Personal,11.34,Rural,No,7.094,359079,9974.42,0
APP100041,40,Female,Married,Bachelor,2,Business,7,23826,732,1,2,130701,36,Personal,5.24,Urban,No,1.829,155701,3630.58,0
APP100042,36,Female,Single,Bachelor,1,Unemployed,0,15000,669,4,20,26896,12,Education,7.56,Urban,No,1.793,126896,2241.33,0
APP100043,34,Female,Single,PhD,3,Salaried,8,117562,770,1,10,145409,36,Personal,8.85,Semiurban,No,0.412,170409,4039.14,1
APP100044,21,Male,Married,High School,0,Salaried,8,47056,724,1,7,283834,36,Medical,7.62,Urban,Yes,2.011,308834,7884.28,0
APP100045,29,Male,Married,Bachelor,2,Business,8,89383,833,1,6,234537,60,Education,4.68,Urban,No,0.525,259537,3908.95,1
APP100046,32,Male,Married,Bachelor,0,Salaried,1,37885,672,0,11,71624,36,Personal,7.28,Semiurban,No,0.63,71624,1989.56,1
APP100047,50,Male,Married,Bachelor,1,Salaried,7,68528,561,0,5,183231,60,Home,10.34,Urban,Yes,0.535,183231,3053.85,1
APP100048,42,Male,Single,Master,1,Salaried,9,19531,707,0,6,135932,36,Medical,8.15,Semiurban,No,2.32,135932,3775.89,0
APP100049,21,Female,Married,High School,1,Salaried,8,15000,674,0,15,214962,120,Auto,9.01,Semiurban,No,1.433,214962,1791.35,0
APP100050,41,Male,Single,High School,2,Salaried,13,37746,722,3,5,100768,60,Home,7.88,Semiurban,No,0.534,175768,1679.47,0
APP100051,33,Female,Married,Bachelor,0,Salaried,11,46348,733,2,8,189561,24,Business,5.55,Rural,No,2.045,239561,7898.38,0
APP100052,29,Male,Divorced,High School,1,Unemployed,0,15000,637,0,4,302820,120,Personal,9.4,Rural,Yes,2.019,302820,2523.5,0
APP100053,45,Male,Married,High School,0,Salaried,7,44764,599,2,9,5000,24,Home,10.36,Semiurban,No,0.056,55000,208.33,1
APP100054,50,Male,Single,High School,2,Unemployed,0,15000,668,0,10,197431,60,Education,8.99,Semiurban,Yes,2.632,197431,3290.52,0
APP100055,49,Male,Single,High School,0,Business,7,48609,489,0,16,255525,60,Business,12.25,Rural,No,1.051,255525,4258.75,1
APP100056,27,Female,Married,Bachelor,2,Salaried,7,72169,686,2,3,25493,12,Auto,7.05,Urban,No,0.353,75493,2124.42,0
APP100057,34,Female,Married,High School,2,Self-Employed,11,45102,647,0,0,92352,120,Home,8.14,Semiurban,No,0.205,92352,769.6,0
APP100058,41,Female,Married,Bachelor,2,Self-Employed,9,113451,748,0,6,118503,36,Auto,8.25,Semiurban,No,0.348,118503,3291.75,1
APP100059,49,Male,Single,Bachelor,0,Salaried,15,54898,521,1,4,91527,60,Auto,10.8,Semiurban,No,0.333,116527,1525.45,1
APP100060,32,Male,Married,Bachelor,1,Salaried,9,81360,680,4,7,85534,36,Business,7.68,Rural,Yes,0.35,185534,2375.94,1
APP100061,35,Male,Married,PhD,0,Salaried,3,52895,806,1,10,120020,60,Home,5.58,Urban,No,0.454,145020,2000.33,1
APP100062,24,Male,Single,High School,2,Self-Employed,5,41680,734,0,19,218135,240,Medical,6.1,Urban,Yes,0.262,218135,908.9,1
APP100063,23,Female,Married,PhD,2,Salaried,11,92638,758,0,5,269012,60,Education,7.47,Rural,No,0.581,269012,4483.53,1
APP100064,47,Female,Single,Bachelor,1,Salaried,0,91585,707,1,0,254212,36,Personal,6.59,Rural,No,0.925,279212,7061.44,0
APP100065,54,Female,Married,Master,2,Salaried,0,15000,547,1,6,229504,36,Education,12.14,Semiurban,No,5.1,254504,6375.11,0
APP100066,37,Male,Married,Bachelor,0,Salaried,8,51683,693,2,9,296569,60,Auto,6.8,Semiurban,No,1.148,346569,4942.82,0
APP100067,50,Female,Married,Bachelor,1,Salaried,13,50837,712,3,3,312506,36,Home,7.48,Semiurban,No,2.049,387506,8680.72,0
APP100068,42,Male,Married,Master,0,Salaried,15,15000,593,2,9,163284,120,Home,10.48,Urban,No,1.089,213284,1360.7,0
APP100069,30,Female,Married,Master,4,Business,6,94378,669,1,8,264477,120,Auto,9.41,Semiurban,No,0.28,289477,2203.98,1
APP100070,42,Male,Single,High School,3,Self-Employed,14,18045,447,0,9,183913,24,Auto,12.83,Semiurban,No,5.096,183913,7663.04,0
APP100071,56,Male,Married,High School,2,Self-Employed,8,15000,653,1,11,132700,60,Education,8.24,Urban,No,1.769,157700,2211.67,0
APP100072,37,Male,Married,Bachelor,3,Self-Employed,0,64130,645,1,7,146018,120,Medical,10.52,Rural,No,0.228,171018,1216.82,1
APP100073,56,Female,Married,Master,0,Self-Employed,7,82050,792,0,10,231001,36,Auto,6.34,Semiurban,Yes,0.938,231001,6416.69,1
APP100074,21,Male,Single,High School,3,Self-Employed,4,45255,631,1,0,267247,24,Auto,9.21,Rural,No,2.953,292247,11135.29,0
APP100075,47,Male,Married,Bachelor,0,Salaried,13,66321,658,0,3,196436,12,Medical,7.02,Urban,No,2.962,196436,16369.67,0
APP100076,39,Female,Single,Bachelor,2,Unemployed,0,15000,673,2,6,118316,24,Business,8.73,Urban,Yes,3.944,168316,4929.83,0
APP100077,34,Male,Single,Master,2,Salaried,0,136202,632,0,2,110841,240,Auto,9.36,Urban,No,0.041,110841,461.84,1
APP100078,39,Male,Married,Bachelor,0,Salaried,0,59167,737,2,8,5000,36,Home,5.9,Semiurban,No,0.028,55000,138.89,1
APP100079,21,Male,Single,Bachelor,1,Salaried,7,92160,520,0,6,178874,36,Home,10.82,Semiurban,No,0.647,178874,4968.72,1
APP100080,35,Male,Divorced,PhD,0,Salaried,0,28804,770,2,5,173431,36,Home,6.69,Rural,No,2.007,223431,4817.53,0
APP100081,42,Female,Married,Bachelor,4,Business,4,58705,679,0,12,66429,24,Personal,8.89,Urban,No,0.566,66429,2767.88,1
APP100082,55,Female,Married,Bachelor,0,Salaried,9,77157,784,2,8,187848,60,Education,5.3,Semiurban,No,0.487,237848,3130.8,1
APP100083,31,Male,Married,High School,1,Business,1,57052,460,0,2,186506,60,Medical,11.79,Semiurban,No,0.654,186506,3108.43,0
APP100084,28,Female,Married,Bachelor,2,Salaried,13,33170,485,1,4,31303,60,Medical,12.42,Urban,No,0.189,56303,521.72,1
APP100085,31,Male,Single,High School,0,Salaried,15,15000,656,0,11,124260,12,Home,8.04,Rural,No,8.284,124260,10355.0,0
APP100086,48,Male,Divorced,High School,1,Salaried,1,54831,720,1,8,262723,120,Auto,7.4,Urban,No,0.479,287723,2189.36,1
APP100087,41,Male,Married,Bachelor,1,Self-Employed,6,91548,635,2,13,99345,120,Personal,11.08,Semiurban,Yes,0.109,149345,827.88,1
APP100088,31,Male,Married,Bachelor,0,Business,13,99124,726,2,12,151411,36,Home,7.44,Semiurban,No,0.509,201411,4205.86,1
APP100089,44,Male,Married,Bachelor,2,Salaried,7,47602,758,0,6,162836,36,Home,7.86,Urban,No,1.14,162836,4523.22,0
APP100090,39,Female,Single,High School,0,Salaried,0,22520,733,1,15,147893,24,Auto,6.09,Urban,No,3.284,172893,6162.21,0
APP100091,49,Female,Married,Bachelor,0,Unemployed,0,15000,688,2,15,205096,36,Education,7.47,Semiurban,No,4.558,255096,5697.11,0
APP100092,29,Male,Single,Bachelor,1,Salaried,2,27117,687,1,0,224817,60,Home,7.47,Urban,No,1.658,249817,3746.95,0
APP100093,34,Male,Married,Bachelor,1,Salaried,14,41210,630,0,8,251166,60,Auto,8.3,Urban,No,1.219,251166,4186.1,0
APP100094,33,Female,Single,High School,3,Salaried,11,64071,675,0,5,124920,36,Home,6.73,Semiurban,No,0.65,124920,3470.0,0
APP100095,21,Female,Married,Bachelor,3,Salaried,6,15000,598,1,6,191909,36,Home,10.23,Semiurban,No,4.265,216909,5330.81,0
APP100096,41,Female,Divorced,Master,1,Salaried,8,100019,617,0,3,217186,36,Home,10.05,Semiurban,No,0.724,217186,6032.94,0
APP100097,41,Male,Married,High School,1,Salaried,0,68148,721,1,3,140533,24,Home,6.63,Urban,No,1.031,165533,5855.54,0
APP100098,38,Female,Married,High School,0,Business,3,84426,642,1,12,92467,120,Home,8.41,Urban,Yes,0.11,117467,770.56,1
APP100099,35,Male,Married,Bachelor,0,Self-Employed,17,83946,620,0,2,161486,60,Education,9.68,Semiurban,No,0.385,161486,2691.43,1
APP100100,21,Male,Married,Bachelor,1,Business,8,72616,715,1,8,101541,36,Personal,7.72,Semiurban,Yes,0.466,126541,2820.58,1
APP100101,32,Male,Divorced,Bachelor,2,Salaried,13,43852,710,2,1,93661,24,Medical,8.83,Rural,No,1.068,143661,3902.54,0
APP100102,33,Male,Married,Bachelor,0,Self-Employed,9,15000,662,0,14,167610,120,Medical,9.89,Urban,No,1.117,167610,1396.75,0
APP100103,28,Male,Married,High School,0,Self-Employed,15,51177,668,0,8,134934,36,Business,7.97,Rural,No,0.879,134934,3748.17,1
APP100104,36,Male,Single,High School,1,Unemployed,0,15000,713,1,11,164041,60,Personal,7.67,Urban,No,2.187,189041,2734.02,0
APP100105,42,Male,Married,High School,0,Salaried,6,29784,757,0,8,25901,12,Personal,5.86,Urban,No,0.87,25901,2158.42,0
APP100106,60,Female,Single,High School,2,Salaried,17,41648,696,2,6,135956,36,Business,9.58,Semiurban,No,1.088,185956,3776.56,0
APP100107,40,Male,Married,Bachelor,1,Self-Employed,13,73871,584,3,8,5000,60,Business,10.59,Rural,No,0.014,80000,83.33,1
APP100108,41,Male,Married,High School,1,Unemployed,0,15000,662,3,15,66362,36,Auto,9.75,Urban,Yes,1.475,141362,1843.39,0
APP100109,37,Male,Married,PhD,0,Unemployed,0,15000,647,0,3,142885,36,Home,8.7,Rural,No,3.175,142885,3969.03,0
APP100110,21,Female,Married,Master,3,Self-Employed,4,122093,595,1,0,247049,24,Home,11.12,Urban,No,1.012,272049,10293.71,0
APP100111,37,Male,Married,Master,0,Salaried,1,107129,719,2,4,192948,36,Business,8.36,Urban,No,0.6,242948,5359.67,0
APP100112,38,Male,Single,Master,3,Salaried,1,74642,725,0,1,157222,60,Home,8.78,Urban,No,0.421,157222,2620.37,1
APP100113,67,Male,Married,Bachelor,1,Unemployed,0,15000,738,0,12,119860,24,Medical,5.9,Semiurban,No,3.995,119860,4994.17,0
APP100114,35,Female,Single,Master,3,Salaried,11,48889,600,0,7,129952,60,Auto,10.07,Urban,No,0.532,129952,2165.87,1
APP100115,41,Female,Married,High School,2,Salaried,7,53659,692,2,12,254462,36,Home,9.26,Urban,No,1.581,304462,7068.39,0
APP100116,37,Male,Single,High School,0,Unemployed,0,15000,679,1,8,61492,60,Auto,7.48,Urban,No,0.82,86492,1024.87,0
APP100117,23,Male,Married,Master,2,Salaried,8,44785,704,1,8,91956,24,Business,8.44,Semiurban,No,1.027,116956,3831.5,1
APP100118,51,Female,Divorced,High School,2,Self-Employed,13,49921,690,1,8,235340,36,Home,8.77,Urban,No,1.571,260340,6537.22,0
APP100119,47,Male,Single,PhD,0,Self-Employed,13,101181,678,1,15,122485,36,Home,9.14,Urban,No,0.404,147485,3402.36,1
APP100120,47,Male,Married,Bachelor,0,Salaried,1,118076,669,0,8,305126,24,Business,8.95,Urban,No,1.292,305126,12713.58,0
APP100121,27,Male,Single,Master,1,Salaried,9,92150,768,1,13,205255,36,Medical,7.26,Urban,No,0.742,230255,5701.53,1
APP100122,54,Male,Divorced,High School,2,Salaried,0,69645,611,1,13,242396,36,Education,10.21,Semiurban,No,1.16,267396,6733.22,0
APP100123,21,Male,Married,Bachelor,2,Self-Employed,8,105938,666,1,7,19949,240,Education,9.86,Urban,Yes,0.009,44949,83.12,1
APP100124,45,Male,Single,High School,2,Salaried,11,42661,766,1,7,234754,60,Business,5.96,Semiurban,No,1.101,259754,3912.57,1
APP100125,64,Female,Single,Master,2,Salaried,0,63579,615,1,6,82048,12,Business,10.04,Urban,No,1.29,107048,6837.33,0
APP100126,26,Female,Married,High School,2,Unemployed,0,15000,619,3,14,207261,36,Home,10.84,Semiurban,No,4.606,282261,5757.25,0
APP100127,31,Male,Single,Bachelor,1,Salaried,8,38226,738,1,3,120903,120,Home,6.46,Semiurban,No,0.316,145903,1007.52,1
APP100128,39,Female,Married,High School,0,Salaried,9,53598,566,1,4,167824,120,Personal,9.99,Urban,No,0.313,192824,1398.53,0
APP100129,31,Male,Single,High School,3,Salaried,6,36712,732,2,6,61501,240,Personal,7.88,Urban,Yes,0.084,111501,256.25,1
APP100130,21,Male,Single,Bachelor,0,Salaried,0,69395,640,2,2,12353,120,Education,10.58,Urban,No,0.018,62353,102.94,1
APP100131,38,Male,Married,High School,1,Unemployed,0,15000,712,1,5,162044,24,Education,7.63,Semiurban,Yes,5.401,187044,6751.83,0
APP100132,25,Female,Single,Bachelor,2,Salaried,0,71337,582,0,13,126496,12,Home,10.46,Urban,Yes,1.773,126496,10541.33,0
APP100133,43,Female,Married,High School,1,Salaried,6,61188,774,0,11,78496,60,Business,6.88,Urban,No,0.257,78496,1308.27,1
APP100134,26,Female,Single,High School,0,Business,5,16386,582,0,5,15436,60,Home,9.87,Semiurban,No,0.188,15436,257.27,1
APP100135,56,Female,Single,Bachelor,0,Self-Employed,7,83146,737,0,12,5000,24,Home,9.45,Urban,No,0.03,5000,208.33,1
APP100136,28,Female,Divorced,High School,1,Salaried,4,65511,585,1,18,191884,24,Auto,9.38,Semiurban,No,1.465,216884,7995.17,0
APP100137,34,Female,Married,High School,4,Business,0,107102,824,2,9,129594,240,Business,5.61,Urban,No,0.061,179594,539.98,1
APP100138,47,Female,Married,Master,1,Self-Employed,5,73963,674,1,15,101690,120,Auto,8.63,Rural,Yes,0.137,126690,847.42,1
APP100139,23,Female,Single,High School,1,Salaried,13,55648,836,0,12,167024,24,Auto,3.09,Urban,Yes,1.501,167024,6959.33,0
APP100140,40,Male,Married,High School,0,Self-Employed,15,80425,614,0,6,231152,24,Business,8.88,Urban,No,1.437,231152,9631.33,0
APP100141,53,Male,Married,High School,0,Unemployed,0,15000,644,1,8,171565,120,Medical,7.77,Semiurban,No,1.144,196565,1429.71,0
APP100142,21,Male,Single,Bachelor,0,Salaried,18,92126,776,1,10,114549,36,Medical,7.2,Urban,Yes,0.414,139549,3181.92,1
APP100143,40,Male,Married,Bachelor,0,Self-Employed,0,70924,565,2,4,320599,60,Auto,9.01,Rural,No,0.904,370599,5343.32,0
APP100144,41,Male,Married,High School,1,Unemployed,0,15000,624,3,0,99139,36,Business,10.46,Rural,No,2.203,174139,2753.86,0
APP100145,47,Male,Married,Master,0,Self-Employed,7,69357,719,2,3,37229,60,Medical,6.44,Urban,Yes,0.107,87229,620.48,1
APP100146,23,Female,Married,High School,0,Salaried,7,39119,598,1,0,157985,36,Personal,11.0,Rural,No,1.346,182985,4388.47,0
APP100147,22,Male,Married,Bachelor,2,Salaried,8,70842,721,1,4,129555,120,Auto,6.18,Semiurban,No,0.183,154555,1079.62,1
APP100148,44,Male,Single,High School,3,Self-Employed,22,35770,693,0,0,225767,36,Auto,8.56,Urban,Yes,2.104,225767,6271.31,0
APP100149,41,Male,Married,Bachelor,3,Salaried,1,54410,558,0,12,107896,60,Personal,11.78,Rural,No,0.397,107896,1798.27,1
APP100150,41,Female,Single,PhD,1,Unemployed,0,15000,757,0,2,136787,60,Home,7.43,Rural,No,1.824,136787,2279.78,0
APP100151,42,Male,Married,Bachelor,0,Salaried,17,111313,579,0,10,80738,60,Business,9.2,Urban,No,0.145,80738,1345.63,1
APP100152,29,Male,Married,PhD,2,Salaried,4,15000,741,0,11,214612,36,Personal,8.31,Semiurban,No,4.769,214612,5961.44,0
APP100153,40,Female,Married,High School,0,Self-Employed,10,91908,690,2,11,161485,60,Business,8.75,Rural,Yes,0.351,211485,2691.42,1
APP100154,41,Male,Divorced,High School,2,Salaried,14,37452,643,1,0,127985,24,Business,6.78,Semiurban,Yes,1.709,152985,5332.71,0
APP100155,29,Male,Single,High School,2,Salaried,10,58885,591,2,13,138000,120,Home,10.29,Urban,Yes,0.234,188000,1150.0,1
APP100156,60,Male,Married,High School,2,Salaried,9,62319,706,3,10,148295,24,Home,10.71,Urban,No,1.19,223295,6178.96,0
APP100157,43,Male,Married,High School,4,Self-Employed,13,83254,610,4,12,35011,120,Business,10.92,Rural,No,0.042,135011,291.76,1
APP100158,23,Female,Married,High School,2,Business,2,43891,776,3,17,243016,60,Business,5.98,Semiurban,No,1.107,318016,4050.27,0
APP100159,45,Male,Married,Bachelor,2,Self-Employed,5,65241,779,1,11,238322,36,Home,6.96,Semiurban,No,1.218,263322,6620.06,0
APP100160,26,Male,Single,High School,0,Salaried,11,41062,811,0,2,153254,36,Home,5.39,Rural,Yes,1.244,153254,4257.06,0
APP100161,47,Male,Married,High School,3,Salaried,0,35744,702,1,11,144704,240,Auto,8.97,Urban,No,0.202,169704,602.93,1
APP100162,51,Male,Single,High School,0,Business,16,97617,647,2,0,70267,24,Education,8.25,Urban,No,0.36,120267,2927.79,1
APP100163,28,Female,Divorced,Master,3,Unemployed,0,15000,656,2,7,288186,60,Education,10.09,Semiurban,No,3.842,338186,4803.1,0
APP100164,49,Male,Single,High School,0,Salaried,8,15000,650,3,5,268836,24,Home,9.92,Urban,No,8.961,343836,11201.5,0
APP100165,42,Male,Married,Bachelor,0,Self-Employed,0,53009,699,1,8,181551,120,Home,8.66,Semiurban,No,0.342,206551,1512.92,1
APP100166,47,Male,Married,Bachelor,2,Salaried,0,20539,714,1,0,215603,60,Business,9.79,Rural,No,2.099,240603,3593.38,0
APP100167,60,Male,Single,Bachelor,0,Salaried,5,54291,778,3,1,248438,120,Home,7.45,Urban,Yes,0.458,323438,2070.32,0
APP100168,35,Male,Married,High School,2,Business,12,80654,681,3,5,232197,120,Home,9.4,Rural,No,0.288,307197,1934.98,1
APP100169,28,Female,Married,High School,0,Salaried,0,30546,567,1,6,81504,60,Home,11.79,Rural,No,0.534,106504,1358.4,1
APP100170,27,Female,Married,Bachelor,3,Salaried,12,49924,647,1,5,125109,24,Medical,9.77,Rural,No,1.253,150109,5212.88,0
APP100171,28,Female,Single,High School,2,Salaried,5,37191,804,2,15,187454,24,Auto,6.38,Semiurban,No,2.52,237454,7810.58,0
APP100172,37,Female,Single,High School,2,Salaried,6,44462,555,0,10,166265,24,Education,10.22,Rural,No,1.87,166265,6927.71,0
APP100173,42,Female,Single,High School,1,Self-Employed,9,61237,739,2,9,210244,24,Home,6.56,Semiurban,Yes,1.717,260244,8760.17,0
APP100174,41,Male,Single,Master,0,Salaried,9,104235,648,0,6,201498,36,Auto,9.47,Rural,No,0.644,201498,5597.17,1
APP100175,47,Female,Married,Bachelor,2,Self-Employed,3,139665,609,1,1,169757,120,Education,10.43,Urban,Yes,0.122,194757,1414.64,1
APP100176,38,Female,Married,Bachelor,0,Salaried,11,63087,711,1,7,5000,12,Home,7.8,Semiurban,No,0.079,30000,416.67,1
APP100177,55,Female,Married,Bachelor,1,Self-Employed,0,94073,804,1,17,243826,24,Personal,5.44,Urban,No,1.296,268826,10159.42,1
APP100178,34,Male,Married,Master,1,Salaried,5,26404,707,0,9,217122,60,Business,7.72,Urban,Yes,1.645,217122,3618.7,0
APP100179,70,Male,Married,Bachelor,1,Self-Employed,8,60624,658,0,13,315537,120,Medical,8.79,Semiurban,No,0.52,315537,2629.48,1
APP100180,45,Female,Married,Bachelor,0,Self-Employed,5,63887,576,3,14,111800,36,Education,10.76,Urban,No,0.583,186800,3105.56,1
APP100181,27,Female,Single,Master,0,Unemployed,0,15000,672,0,10,5000,36,Auto,8.34,Semiurban,Yes,0.111,5000,138.89,1
APP100182,25,Female,Married,Bachelor,0,Unemployed,0,15000,573,0,9,135564,36,Education,11.71,Rural,Yes,3.013,135564,3765.67,0
APP100183,43,Male,Married,High School,3,Salaried,0,40119,655,2,3,186534,36,Home,8.79,Urban,No,1.55,236534,5181.5,0
APP100184,35,Male,Married,High School,0,Salaried,7,33168,674,0,6,114636,60,Home,7.88,Rural,Yes,0.691,114636,1910.6,1
APP100185,46,Male,Single,Master,4,Self-Employed,8,195071,491,2,6,259743,60,Education,12.1,Urban,No,0.266,309743,4329.05,1
APP100186,43,Female,Single,Master,0,Self-Employed,8,113578,791,0,9,97188,120,Auto,5.08,Semiurban,No,0.086,97188,809.9,1
APP100187,37,Male,Single,Bachelor,0,Salaried,15,110025,580,2,0,141929,120,Home,12.41,Urban,No,0.129,191929,1182.74,1
APP100188,27,Male,Married,Bachelor,1,Salaried,7,97316,665,1,5,130320,120,Education,9.36,Urban,Yes,0.134,155320,1086.0,1
APP100189,21,Female,Married,Bachelor,0,Self-Employed,10,52822,722,3,10,371944,60,Education,7.55,Semiurban,No,1.408,446944,6199.07,0
APP100190,32,Male,Single,Bachelor,1,Unemployed,0,15000,784,0,4,77513,24,Medical,7.74,Semiurban,No,2.584,77513,3229.71,0
APP100191,48,Female,Married,Bachelor,3,Unemployed,0,15000,616,0,3,196698,24,Business,9.47,Semiurban,No,6.557,196698,8195.75,0
APP100192,40,Male,Married,High School,0,Salaried,16,39168,479,3,4,53903,60,Home,12.39,Rural,No,0.275,128903,898.38,0
APP100193,23,Female,Married,PhD,2,Salaried,8,56942,766,1,6,177437,120,Medical,5.98,Urban,No,0.312,202437,1478.64,1
APP100194,40,Male,Divorced,Master,1,Salaried,12,63650,580,2,0,73642,60,Personal,9.46,Urban,No,0.231,123642,1227.37,0
APP100195,42,Female,Single,Bachelor,0,Salaried,16,68987,708,0,4,237995,120,Business,8.05,Semiurban,No,0.345,237995,1983.29,1
APP100196,27,Female,Divorced,High School,0,Business,16,71744,713,1,12,222650,36,Business,8.8,Urban,No,1.034,247650,6184.72,1
APP100197,39,Male,Single,High School,3,Business,5,69651,419,0,9,171721,12,Home,12.74,Semiurban,No,2.465,171721,14310.08,0
APP100198,38,Male,Married,Bachelor,0,Salaried,14,58508,550,0,10,38685,60,Personal,10.76,Rural,No,0.132,38685,644.75,1
